Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
6184,4096,14208,3.69,2.43,8.42
5924,4496,15184,3.57,2.68,9.13
6144,4416,14796,3.69,2.68,8.87
5316,4824,14308,3.22,2.88,8.51
5300,4848,14972,3.07,2.89,8.95
4824,4436,15252,2.9,2.66,9.1
3692,5224,15100,2.28,3.1,8.95
4292,4756,14220,2.51,2.89,8.49
4592,6360,14636,2.7,3.83,8.75
4296,7468,13840,2.54,4.51,8.36
2740,7040,14092,1.59,4.17,8.43
2992,7048,14020,1.82,4.31,8.38
2084,7900,14020,1.25,4.73,8.39
2840,9052,13160,1.66,5.47,7.94
2620,9340,13496,1.61,5.6,8.13
3380,10100,13816,2,6.06,8.23
2096,10712,12760,1.24,6.31,7.61
1820,10488,11856,1,6.32,7.12
2016,11108,11500,1.26,6.64,6.95
1888,11444,10980,1.11,6.81,6.56
1548,11896,10816,0.91,7.14,6.46
1380,12092,10288,0.82,7.26,6.11
1188,12724,10428,0.71,7.64,6.33
1424,12660,9868,0.82,7.6,5.92
1776,13452,9544,1.04,7.98,5.76
1824,13292,9856,1.14,7.94,5.82
1160,13212,9548,0.69,7.9,5.71
1244,13064,9196,0.76,7.83,5.51
1640,13368,9160,0.97,8.02,5.47
1696,13276,9080,1,7.94,5.47
1788,13240,8904,1.05,7.89,5.34
1580,13320,9076,0.94,7.96,5.38
1476,13584,9388,0.91,8.16,5.51
988,13680,10548,0.51,8.16,6.29
1588,14008,11712,1.01,8.37,7
1056,12880,11812,0.68,7.7,6.98
1684,12080,11488,0.96,7.23,6.87
1596,10964,12240,0.96,6.61,7.34
2264,9464,13028,1.37,5.73,7.74
3744,8712,14040,2.2,5.26,8.39
4724,7472,14220,2.9,4.46,8.53
3652,5580,14392,2.16,3.37,8.57
4964,4308,14092,2.96,2.58,8.4
6672,3876,13524,3.99,2.34,8.11
6196,2912,14388,3.73,1.73,8.63
5280,2372,14532,3.16,1.42,8.65
5912,2712,15220,3.48,1.67,9.1
5940,1248,15204,3.59,0.77,9.14
5736,56,14980,3.46,0.03,8.88
6044,-296,15000,3.6,-0.19,8.91
6212,-524,15260,3.71,-0.32,9.14
6760,64,15368,4.12,0.02,9.19
6052,-600,15764,3.67,-0.36,9.47
7320,-1348,15380,4.4,-0.88,9.28
7328,-1584,14396,4.47,-0.91,8.54
6784,-2708,14324,4.04,-1.65,8.51
7968,-2752,14280,4.79,-1.65,8.67
7196,-2300,13996,4.32,-1.38,8.39
8356,-2220,14676,5.03,-1.29,8.78
7416,-2368,15224,4.43,-1.4,9.02
7120,-2380,15120,4.25,-1.48,9
7328,-2308,14932,4.41,-1.3,8.84
7204,-2324,14824,4.33,-1.34,8.77
10184,-392,17732,6.17,-0.18,10.61
10132,-1344,18736,6.14,-0.76,11.19
5392,-7180,14536,3.23,-4.3,8.7
3828,-11336,4844,2.28,-6.81,2.79
4760,-11804,1480,2.9,-7.08,0.93
6124,-10200,4760,3.7,-6.17,2.96
7024,-10028,9272,4.26,-5.98,5.58
7784,-4668,14464,4.63,-2.78,8.77
10400,-116,20376,6.24,-0.11,12.24
8188,-1316,18152,4.86,-0.86,10.86
6724,-2684,14832,4,-1.63,8.9
7004,-2284,14636,4.22,-1.35,8.7
7352,-2140,14000,4.31,-1.28,8.41
7420,-2404,14264,4.41,-1.47,8.47
7360,-1828,13788,4.43,-1.1,8.27
9468,-744,13652,5.65,-0.45,8.31
8300,-316,14376,4.94,-0.14,8.65
7260,540,14888,4.34,0.31,8.83
7324,988,14728,4.5,0.56,8.8
7624,2644,14076,4.59,1.54,8.51
6628,2932,14284,3.93,1.76,8.51
5472,3172,14744,3.25,1.94,8.81
6164,3832,14916,3.65,2.29,8.91
5700,4844,14552,3.43,2.94,8.71
5440,5448,14080,3.26,3.21,8.42
2768,6692,14580,1.68,4.02,8.73
3296,8232,14140,1.99,4.87,8.54
2676,9852,13468,1.63,5.95,7.98
4264,10212,13408,2.55,6.09,8
1960,10104,12560,1.13,6.12,7.56
3600,10176,11632,2.12,6.01,6.97
1224,11872,10408,0.69,7.15,6.23
3520,13064,10112,2.08,7.8,6.19
1780,12444,10752,1.03,7.44,6.46
2196,13148,9440,1.32,7.97,5.71
2376,13952,9580,1.42,8.4,5.7
2248,14556,8580,1.39,8.74,5.13
2184,14128,7864,1.31,8.38,4.75
1176,13876,7052,0.71,8.31,4.26
840,14744,7292,0.55,8.77,4.31
552,14676,7000,0.36,8.75,4.2
348,15036,6208,0.22,8.98,3.77
160,14724,5740,0.12,8.84,3.46
-164,14504,6012,-0.1,8.73,3.64
180,14788,6740,0.11,8.85,4.03
-196,14540,6672,-0.14,8.71,3.91
-196,14616,6312,-0.11,8.72,3.82
-192,14520,6384,-0.14,8.66,3.83
216,14952,6564,0.13,8.94,3.93
44,14604,6744,0.03,8.74,4.01
-396,14628,6280,-0.23,8.73,3.8
64,14488,6408,-0.03,8.67,3.78
-164,14696,6344,-0.06,8.79,3.87
-508,14620,6164,-0.29,8.71,3.63
20,14704,6616,0.05,8.77,3.86
-132,14756,6232,-0.06,8.81,3.74
-220,14552,6096,-0.1,8.69,3.6
-148,14740,6308,0,8.82,3.78
12,14640,6664,-0.04,8.71,3.93
28,14580,6212,-0.04,8.76,3.76
-344,14468,6364,-0.18,8.69,3.82
44,14700,6300,0.03,8.79,3.84
-172,14592,6404,-0.1,8.69,3.83
96,14572,6448,0.06,8.75,3.89
-152,14572,6212,-0.09,8.75,3.73
44,14660,6300,-0.01,8.78,3.75
80,14580,6208,0.03,8.75,3.8
36,14788,6320,0.07,8.89,3.84
-76,14584,6340,-0.07,8.77,3.77
-44,14728,6396,-0.03,8.81,3.74
-112,14660,6200,-0.07,8.76,3.71